date,gold,sp500,dxy,kospi200
2025-09,3682.2999906994046,6584.0180896577385,97.68571472167969,458.2431807084517
2025-10,4044.3739066745925,6735.691724694293,98.7652176566746,532.772230360243
2025-11,4082.1157612047696,6740.885767886513,99.74736906352796,566.0369995117187
2025-12,4311.059104225852,6853.025457208807,98.54272738370028,579.3133341471354
2026-01,4730.8599609375,6929.12197265625,98.20899925231933,700.6899966285342
2026-02,5011.036826685855,6893.806280838816,97.45526323820415,824.4200080422794
2026-03,4856.390891335227,6654.419122869318,99.48227275501598,820.9709559849331
2026-04,4721.633347284226,6957.007626488095,98.72523898170108,909.2659163041549
2026-05,4589.68994140625,7412.551538085938,98.71650009155273,1198.675564236111
2026-06,4424.2333984375,7546.29404296875,99.58733367919922,1334.2240234375
